fid,neighbourhood,Number of households,Population size,Average household size,sex ratio,population 0-14 yrs old (%),population 15-64 yrs old (%),population 65+ yrs old (%),curaçaoan-born population (%),foreign-born population (%),first generation migrants (%),second generation migrants (%),population with native background (%),population with intention to leave (%),population with intention to stay (%),income_ang,general fertility rate (children per women 15-49),Unemployment rate (%),Participation rate (%),hindrance of air pollution (%),living accommodations in bad condition (%),never married population (%),married population (%),divorced population (%),population living in consensual union (%),neighbourhood area (km²),x,y
200,KLEIN KWARTIER,216,593,2.7,95,21.9,65.9,12.1,72.3,27.7,27.8,20,52.2,4,68.9,5524,42,9.2,66.3,9.8,13,31.9,44,4.6,11.3,,,
201,VERGENOEGD,24,74,3.1,,,,,,,,,,,,,,,,4.2,,39.3,44.3,4.9,8.2,,,
202,KLEIN ST. MICHIEL,461,1350,2.9,89,25.1,72.7,2.1,87,13,13,18.3,68.7,3.4,66.7,6879,35,4.9,74.8,55.6,1.1,35.8,45.1,1.3,10.3,,,
203,KOLONCHI,44,98,2.2,,,,,,,,,,,,,,,,4.5,,25.6,41.5,9.8,9.8,,,
204,TRAI SERU,343,884,2.6,81,22.4,67.1,10.5,76.5,23.5,23.6,18.5,58,3.8,64.8,6020,48,6.9,63.7,4.1,7.6,41.7,33.7,4.5,14.1,,,
205,KORAAL PARTIR,346,910,2.6,79,22.7,69,8.2,72.1,27.9,28,20.2,51.8,6.5,62.9,7493,49,4,74.1,6.1,1.5,26.5,43,2.8,14.2,,,
206,WELGELEGEN BIJ HABAAI,42,111,2.6,68,16.2,64.9,18.9,75.5,24.5,24.5,20,55.5,2.9,66.7,8338,,,,59.5,,27.5,50.5,5.5,6.6,,,
207,KORAAL SPECHT,883,3064,2.9,74,16.1,67.7,16.3,80.7,19.3,19.5,20,60.5,6.4,55.7,3976,47,19.5,48.6,14.9,5.4,52.7,23.9,7.2,9.5,,,
208,SCHOONEBOOM,22,61,2.8,,,,,,,,,,,,,,,,4.5,18.2,28.3,45.7,2.2,15.2,,,
209,HERST,64,144,2.3,80,16.7,61.8,21.5,63.9,36.1,36.1,25,38.9,12.2,56.8,6902,,,,4.7,1.6,30.2,37.1,6,12.9,,,
210,KORPORAAL,208,521,2.5,88,17.3,59.3,23.4,68.1,31.9,32.2,28.3,39.6,5.6,66.1,7771,75,3.3,55.5,1.9,1.5,25.1,51.8,6.6,9.4,,,
211,MONTE BELLO,91,206,2.3,82,18.4,60.2,21.4,55.7,44.3,44.6,21.8,33.7,0.5,54,4307,,,,22.2,17.8,42.3,29.4,7.4,13.5,,,
212,WANAPA,10,27,2.7,,,,,,,,,,,,,,,,10,,36.4,36.4,4.5,9.1,,,
213,KUDISHI,12,25,2.1,,,,,,,,,,,,,,,,,,4.3,65.2,8.7,13,,,
214,JAN LUIS,97,321,3.3,81,22.4,70.7,6.9,73.7,26.3,26.4,16.4,57.2,1.3,56.5,4040,,13.8,61,5.2,8.3,37.8,41.2,5.9,13,,,
215,KUNUKU GRANDI,52,136,2.6,92,16.9,73.5,9.6,77.2,22.8,22.8,16.2,61,1.5,64.4,5874,,,,1.9,17.3,49.1,26.8,6.3,8.9,,,
216,MONTAÑA REY,1287,3569,2.8,80,19.2,66.2,14.6,84.6,15.4,15.5,12.3,72.2,2.7,64.3,4384,38,9.3,60,12.3,6.3,42.2,33.8,5.9,9.9,,,
